key,japanese
gunRifleT3SniperRifleDesc,"この高い精密性を持った遠距離ライフルは、遠くから敵を狙うのに最適です。\n\n解体すると機械部品になります。"
gunShotgunT1DoubleBarrelDesc,"錆びついて古くなった2連ショットガンです。近距離での皆殺しにピッタリ。\n\n解体すると鉄になります。"
gunShotgunT2PumpShotgunDesc,ポンプアクション式で装填する銃身の長いショットガンです。
gunShotgunT3AutoShotgunDesc,このセミオートショットガンは珍しくて壊滅的な短距離武器で、その進路上にあるものすべてをひき肉にしてしまうことができます。\n\n解体すると機械部品になります。
ammoGasCanDesc,ガソリン入りの缶です。\n動力源を用いるツールや車両の燃料として使用できます。\n1回のクラフトで4手に入ります。
resourceFeatherDesc,羽根は基本的に鳥の巣や鳥の解体で手に入れることができます。\n\n燃やす燃料として使用できます。
medicalAloeCream,グリーンハーブ・クリーム
medicalAloeCreamDesc,"グリーンハーブは基本的な回復アイテムとして、擦り傷の回復速度を速めるまたは救急包帯のクラフトに使用できます。\n他のプレイヤーを手当するには第二アクションを使用しましょう。"
medicalFirstAidBandageDesc,"グリーンハーブを塗り込んだ包帯は、止血、傷の治療に使え、擦り傷の回復速度を速めます。\n他のプレイヤーを手当するには第二アクションを使用しましょう。"
medicalFirstAidKitDesc,"救急キットは、止血、脳震盪治療、大きな傷の治療、擦り傷の回復速度を速め、裂傷の縫合に使用します。\n他のプレイヤーを手当するには第二アクションを使用しましょう。"
meleeWpnBatonT2StunBatonDesc,ビリっとします。\n\n解体すると電気部品になります。
meleeWpnBladeT1CandyKnife,コンバットナイフ
meleeWpnBladeT1CandyKnifeDesc,このナイフはサバイバルナイフより強力です。\n新しい相棒ですね！
meleeWpnBladeT1HuntingKnife,サバイバルナイフ
meleeWpnBladeT1HuntingKnifeDesc,ゾンビを引き裂いたり、動物を解体するために使用します。
meleeWpnBladeT3MacheteDesc,ゾンビを引き裂いたり、動物を解体するために使用します。\n\n解体すると鉄になります。
meleeWpnClubT1BaseballBatDesc,古代の巨大闘技場で開催されていた剣闘士遊戯で使用されていた棍棒です。\n\n解体すると鉄になります。
meleeWpnClubT3SteelClubDesc,鉄鋼製棍棒は非常に丈夫で、強打をかますことができます。\n\n解体すると鉄になります。
meleeWpnKnucklesT1IronKnucklesDesc,拳を守り、パンチを重くします。\n\n解体すると鉄になります。
meleeWpnKnucklesT3SteelKnucklesDesc,拳を守り、パンチを重くします。\n動物を解体するためにも使用可能です。\n\n解体すると鉄になります。
meleeWpnSledgeT1IronSledgehammerDesc,頭蓋骨を叩き割るならスレッジハンマーに限ります。\n\n解体すると鉄になります。
meleeWpnSledgeT3SteelSledgehammerDesc,頭蓋骨を叩き割るならスレッジハンマーに限ります。\n\n解体すると鉄になります。
meleeWpnSpearT1IronSpearDesc,槍は他の武器よりも攻撃範囲が広く、投擲武器としても使用できます。\n\n解体すると鉄になります。
meleeWpnSpearT3SteelSpearDesc,槍は他の武器よりも攻撃範囲が広く、投擲武器としても使用できます。\n\n解体すると鉄になります。
noteDuke01,ラブレター
noteDuke01Desc,"愛しい人よ、\n君がやってもいない罪が原因で罰せられているだなんて、信じられない！\n君のために、食料、飲み物、そして医薬品を置いておいた。\n濡れ衣だってことを何とか証明してみせる。\nそして、親に頼んで君に物資を飛行機で届けるよ。\nどうか無事でいてくれ、愛してる！\n\nPS: 君のお気に入りの武器も入れておいたよ。"
meleeToolAxeT1IronFireaxeDesc,消防斧は木材の収集に役立ちます。\n\n解体すると鉄になります。
meleeToolAxeT2SteelAxeDesc,鉄鋼製斧に丈夫な刃がついており、木材の収集に役立ちます。\n\n解体すると鉄になります。
meleeToolAxeT3ChainsawDesc,伐採に最も適している道具。\nガソリンを燃料として使用します。\n\n解体すると機械部品になります。
meleeToolFlashlight02Desc,懐中電灯は手に持った状態でFを押すと光源として使用できます。\n\nパワーアタックをすると、ゾンビに16のダメージを与えノックダウンさせるチャンスがあります。
meleeToolPickT1IronPickaxeDesc,鉄つるはしは砕石や鉱石の収集に役立ちます。\n\n解体すると鉄になります。
meleeToolPickT2SteelPickaxeDesc,鉄鋼つるはしは砕石や鉱石の収集に最適です。\n\n解体すると鉄になります。
meleeToolPickT3AugerDesc,鼻歌まじりにこのセクシーなガソリン駆動オーガを操りながら、採掘している他の連中を羨ましがらせましょう。\n\n解体すると機械部品になります。
meleeToolRepairT3NailgunDesc,ネイルガンは基地の壁を修復したりアップグレードしたりするのに最高のツールです。また、釘を持っている場合は武器としても悪くありません。\n\n修理キットで修復可能。\n解体すると機械部品になります。
meleeToolSalvageT1WrenchDesc,"車両やエアコンなどの機械を分解するのにとても便利です。"
meleeToolSalvageT2RatchetDesc,"車両やエアコンなどの機械を分解するのにとても便利です。\n\n解体すると機械部品になります。"
meleeToolSalvageT3ImpactDriverDesc,"車両やエアコンなどの機械を分解するのにとても便利です。\n\n解体すると機械部品になります。"
meleeToolShovelT1IronShovelDesc,"鉄ショベルは地面や砂、雪などを掘るのに役立ちます。\n\n解体すると鉄になります。"
meleeToolShovelT2SteelShovelDesc,"鉄鋼ショベルはとても丈夫で地面や砂、雪などを掘るのに理想的なツールです。\n\n解体すると鉄になります。"
UpgradeTool,このツールを手に持ち、ドアやハッチなどに向かって右クリックをすると、鞄内に入っている正しい鍵を消費し、ドアやハッチのロックを解除する事が出来ます。
DeathMask,このデスマスク専用の扉を開くために使用します。\n\n手に「鍵用アップグレードツール」を持ち、鞄内にデスマスクが入っている状態で扉を右クリックで開きます。
MansionBattery,金庫用ドアや金庫用ハッチを開くために使用します。\n\n手に「鍵用アップグレードツール」を持ち、鞄内にスペンサー邸バッテリーが入っている状態で金庫用ドアや金庫用ハッチを右クリックで開きます。
JillLockpick,ピッキングに関しては、ジルの右に出る者はいません。
ResearcherWillTip_title,ある研究員の遺書
TrevorDiaryTip_title,トレヴァーの手記
BotanyBookTip_title,植物学の本
KeeperDiaryTip_title,飼育係の日記
MailToTheChiefOfSecurityTip_title,保安部長のメール
ResearcherLetterTip_title,研究員の手紙
ObservationNoteTip_title,観察記録書
"Researcher's Will",ある研究員の遺書
"Trevor's Diary",トレヴァーの手記
"Botany Book",植物学の本
"Keeper's Diary",飼育係の日記
"Mail to the Chief of Security",保安部長のメール
"Researcher's Letter",研究員の手紙
"Observation Note",観察記録書
"Assault Shotgun",アサルトショットガン
"Assault Shotgun (Hit to Pickup)",アサルトショットガン(叩いて回収)
AssaultShotgunDesc,リチャードのお気に入りである、S.T.A.R.S.専用武器。\n\n装弾数は10弾です。\nスプレッドが狭く、射撃レートが速く、射程が長くなっていますが、リロード速度は遅くなります。
KnowledgeBook,この本を読むと、飛び立つために必要な知識の一部を習得します。\n高度エンジニアリングとグリースモンキーのレベルが3ずつ上がります。\n\nツールベルトスロットにセットし、手に持ち、二次アクション(右クリック)でお読みください。
Green+BlueHerbCreamDesc,グリーン+ブルー・ハーブクリーム\n\n少量の体力回復と解毒治療。\n医師(フィジシャン)パークのレベルを上げると回復量が上がります。
Green+RedHerbCreamDesc,グリーン+レッド・ハーブクリーム\n\n程よい量の体力を回復します。\n医師(フィジシャン)パークのレベルを上げると回復量が上がります。
BlueHerbCreamDesc,ブルー・ハーブクリーム\n\n解毒治療。
Green+Red+BlueHerbCreamDesc,グリーン+レッド+ブルー・ハーブクリーム\n\n程よい量の体力を回復しと解毒治療。\n医師(フィジシャン)パークのレベルを上げると回復量が上がります。
"Anti-vemon First Aid Bandage",アンチベノム救急包帯
SuperGogglesDesc,これをかけるとジルサンドイッチにならずに済みます。\n\n強さ以外のアトリビュート全て +1。\nルートボーナス +10。\n獲得経験値 +30%。\nクラフト時間 -20%。
PowerSource,地下の台所近くにあるエレベーターを動かすために使用します。\n\n手に「鍵用アップグレードツール」を持ち、鞄内にスペンサー邸エレベーター用電源が入っている状態で館のエレベータードアを右クリックし、使用可能にします。
WolfBook,狼の本は「狼と鷲の扉」を開くために必要な2冊の本の内の1冊です。\n\n手に「鍵用アップグレードツール」を持ち、鞄内に2冊の本が入っている状態で「狼と鷲のドア」を右クリックし、開きます。
EagleBook,鷲の本は「狼と鷲の扉」を開くために必要な2冊の本の内の1冊です。\n\n手に「鍵用アップグレードツール」を持ち、鞄内に2冊の本が入っている状態で「狼と鷲のドア」を右クリックし、開きます。
PrisonKey,監獄のドアを開くためには、この鍵が2つ必要になります。\n\n手に「鍵用アップグレードツール」を持ち、鞄内に「監獄の鍵」が2つ入っている状態で「監獄のドア」を右クリックし、開きます。
Quest_Completion_tip_title,"クエスト完了"
Quest_Completion_tip,"おめでとうございます！\n無事スペンサー邸から脱出することが出来ました！\n\n私が制作しながら楽しめたように、皆様が楽しくプレイ出来た事を願います！\n\nフランティック・ダン"
FranticDan,挑戦者様、\nスペンサー邸チャレンジをプレイしてくれてどうもありがとうございます。\nこの建物は2017年、8月15日、アルファ16の時に建設を開始しました。\n\n楽しんで遊んでいただけたらと幸いです。\nですが、残念ながらあなたはルールを守らなかったため、チャレンジに失敗してしまいました．．．
firstAidTip,"包帯、救急包帯、救急キットを所有する、あるいは第一アクションから血液バッグを使用して自分の回復や止血を行います。同じアイテムを第二アクションから使用して他者を回復することもできます。\n\nグリーンハーブ、包帯や救急包帯は、戦闘で受ける最も一般的なダメージである擦り傷を回復させます。救急キットや縫合キットは、より深い裂傷を回復させます。これらの回復により、最大体力の上限が回復します。これは体力バーで黒く表示されています。"
quest_WhiteRiverCitizen1_description_title,ラジオ雑音
tutorialTipQuest01,"あなたはこれからスペンサー邸での出来事を一人称視点で体験する事になります。\n\nルール: 次の事を行うとチャレンジ失敗となります： コンソールコマンドを使用する、 ファイルの内容を変更する、 含まれているもの以外のModletを追加する、 館の敷地内から徒歩で出る、　死亡する。\n\nチャレンジ中はずっと夜なため、　夜間のゾンビの移動速度は「歩き」もしくは「早歩き」に設定する事をお勧めします。(「走る」以上にはしない事を強くお勧めします。)\n\nバイオハザードらしいチャレンジにするため、 鞄内のスロット数は制限されています。\n館内の保管チェストをご利用ください。\nより楽しいチャレンジになる用、ダイナミック音楽の設定は、100%にする事をお勧めします。\nクエストログを読むと、このModの情報や裏話が書いてあるので、お読みください。"
tutorialTipQuest01_title,スペンサー邸チャレンジへようこそ
tutorialTipQuest02,"スペンサー邸チャレンジ - 館からの脱出\n\nクエストログがあなたのガイドになります。\n\nルール: 死亡する、 マンションの敷地内から徒歩で出る、　クリエイティブメニューを使用するとチャレンジ失敗となります。\n\n時間制限はございません、　チャレンジ中はずっと夜なため、　夜間のゾンビの移動速度は「歩き」もしくは「早歩き」に設定する事をお勧めします。\nブラッドムーンはオフにしても良いでしょう。\n\n館内で見つかるアイテムでジャイロコプターをクラフトし、トレーダーまで飛んで移動するとチャレンジ成功となります。"
tutorialTipQuest02_title,スペンサー邸チャレンジ
perkArtOfMiningCoffeeDesc,コーヒーで目が冴えていると、鉱石の採掘量が25%アップ。
perkArtOfMiningCoffeeLongDesc,コーヒー：鉱山労働者はコーヒーに目がありません。コーヒーで目が冴えていると、あらゆる鉱石の採掘量が25%アップ。
perkHuntingJournalSelfDefenseDesc,人間とゾンビに対して+10%のダメージを与える。
perkHuntingJournalSelfDefenseLongDesc,護身：襲われたとしても、このテクニックを使えば被害者にならずに済みます。人間とゾンビに対して+10%のダメージを与える。
perkUrbanCombatCompleteDesc,サプレッサーにはダメージペナルティーがない。
perkUrbanCombatCompleteLongDesc,サプレッサー：サプレッサー付き火器ならばダメージペナルティーがありません。
perkDeepCutsName,ディープカット (出血無し)
perkLivingOffTheLandRank1LongDesc,"アキノキリンソウ、菊、 グリーンハーブ,、ユッカなどの花や観葉植物の種をクラフトできます。\n耕作区画のクラフトコストが15%低下。"
perkLivingOffTheLandRank2LongDesc,"ブルーベリー、 コーヒー、レッドハーブ、ブルーハーブ、綿花、ホップ、マッシュルームの種をクラフトできます。\n耕作区画のクラフトコストが30%低下。"
perkLivingOffTheLandRank3LongDesc,"トウモロコシ、　ジャガイモ、　カボチャ、　スーパーコーンの種をクラフトできます。\n耕作区画のクラフトコストが 45%低下。"
perkTheHuntsmanRank1LongDesc,狩人への道を歩んでいます。刃のついた道具または武器を使って動物から+34%の資源を収穫する。
perkTheHuntsmanRank2LongDesc,皮を剥ぎ、食肉を調達することに熟達し始めています。刃のついた道具または武器を使って動物から+50%の資源を収穫する。
perkAdvancedEngineeringRank1LongDesc,鍛冶職人になったあなたは、鉄などの金属を鍛えられます。炉でのアイテムのクラフトが20%速くなります。接着剤のクラフトコストが削減できます。
perkAdvancedEngineeringRank2LongDesc,あなたの修理能力は世紀末で重宝されます。セメントミキサーを使ってアイテムを20%速くクラフトできます。
perkCharismaticNatureDesc,あなたはサバイバリストです。\nサバイバル本能パークのレベルに応じたバフ効果が付与されています。
perkCharismaticNatureName,サバイバル本能
perkCharismaticNatureRank1Desc,健康的
perkCharismaticNatureRank1LongDesc,最大体力と最大スタミナ量が 10 上がり、 動きが阻害されることなく、アイテムを1つ多く運べる。
perkCharismaticNatureRank2Desc,力尽く
perkCharismaticNatureRank2LongDesc,与ブロックダメージ量が 20%上がり、 敵へのダメージ量が 10%上がります。 動きが阻害されることなく、アイテムを1つ多く運べる。
perkCharismaticNatureRank3Desc,鋼の身体
perkCharismaticNatureRank3LongDesc,"アーマー値と爆発ダメージ耐性が 2 上がり、 受けるダメージが　5%下がり、 出血ダメージと出血デバフ持続時間が半減し、 動きが阻害されることなく、アイテムを1つ多く運べる。"
perkCharismaticNatureRank4Desc,飲み込みが速い
perkCharismaticNatureRank4LongDesc,獲得経験値量が 15% 増え、 動きが阻害されることなく、アイテムを1つ多く運べる。
perkDaringAdventurerRank1LongDesc,毎日危険を冒すことには利点があります。クエスト報酬の選択肢が1つ増え、手に入るデュークが10%増えます。
perkDaringAdventurerRank2LongDesc,"盗賊さん、あなたが仕事を成し遂げられるということをトレーダーは知っています。クエスト報酬の選択肢が2つ増え、手に入るデュークが20%増えます。"
perkDaringAdventurerRank3LongDesc,あなたは傭兵として名を上げました。クエスト報酬の選択肢が3つ増え、手に入るデュークが30%増えます。
perkDaringAdventurerRank4LongDesc,あなたは勇敢な冒険者で、最高のサービスを提供して素晴らしい報酬を手にします。クエスト報酬を2つ選択できるようになり、手に入るデュークが40%増えます。
perkGreaseMonkeyRank1Desc,ホイールをクラフトする
perkGreaseMonkeyRank1LongDesc,乗り物のホイールがクラフト可能になります。
perkGreaseMonkeyRank2Desc,ガソリン缶とバッテリーをクラフトする。
perkGreaseMonkeyRank2LongDesc,ガソリン缶とバッテリーがクラフト可能になります。
perkGreaseMonkeyRank3Desc,オイルをクラフト
perkGreaseMonkeyRank3LongDesc,オイルシェールからオイルをクラフトする事が出来るようになります。
perkGreaseMonkeyRank4Desc,大量のガソリン缶がクラフト可能になり、オイルのクラフトに必要な材料が20%軽減されます。
perkGreaseMonkeyRank4LongDesc,もっと効率の高い大量のガソリン缶がクラフト可能になり、オイルのクラフトに必要な材料が20%少なくなります。
perkGreaseMonkeyRank5LongDesc,あなたの修理欲が満たされることはなく、鉄くずを使って空を飛ぶ方法を生み出せるのは真の天才のみです。ジャイロコプターのパーツと品質レベル5のカーバッテリーをクラフトできます。
perkPhysicianRank1LongDesc,"医療回復アイテムの回復量が25%増加します。包帯、救急包帯、グリーンハーブクリーム、ミックスハーブクリーム、ブルーハーブクリーム、応急処置キット、副木使用時の経験値が50%増加。\n救急包帯、ギプスなどがクラフト可能になります。"
perkPhysicianRank2LongDesc,"医療回復アイテムの回復量が50%増加します。包帯、救急包帯、グリーンハーブクリーム、ミックスハーブクリーム、ブルーハーブクリーム、応急処置キット、副木使用時の経験値が100%増加。\n救急キットがクラフト可能になり、科学実験ステーションでのアイテムのクラフトが20%速くなります。"
perkPhysicianRank3LongDesc,"医療回復アイテムの回復量が75%増加します。包帯、救急包帯、グリーンハーブクリーム、ミックスハーブクリーム、ブルーハーブクリーム、応急処置キット、副木使用時の経験値が150%増加。\nレコグと抗生物質がクラフト可能になります。"
perkSalvageOperationsRank1LongDesc,"物をバラバラにすれば、何か役立つ物がみつかるかもしれません。品質レベル2のみすぼらしい回収ツールをクラフトできます。レンチ、ラチェット、インパクトドライバーなどの回収ツールの付与ダメージが 12.5% 、採集速度が 10% 、採集量が 20% 増加し、 消費スタミナ量が 2% 軽減され、　ブロックダメージ量が 25% 上がります。\nUnlocks wrench crafting."
perkSalvageOperationsRank2LongDesc,"人はあなたのことをゴミ拾いと呼びますが、誠実な生き方であることには間違いありません。品質レベル3の美しい回収ツールをクラフトできます。レンチ、ラチェット、インパクトドライバーなどの回収ツールの付与ダメージが 25% 、採集速度が 20% 、採集量が 40% 増加し、 消費スタミナ量が 4% 軽減され、　ブロックダメージ量が 50% 上がります。"
perkSalvageOperationsRank3LongDesc,"その辺の解体屋と比べて、使えるパーツをより多く見つける才能があるようです。品質レベル4の優れた回収ツールをクラフトできます。レンチ、ラチェット、インパクトドライバーなどの回収ツールの付与ダメージが 37.5% 、採集速度が 30% 、採集量が 60% 増加し、 消費スタミナ量が 6% 軽減され、　ブロックダメージ量が 75% 上がります。"
perkSalvageOperationsRank4LongDesc,"回収されたパーツを集める素晴らしい能力を持っています。 品質レベル5の素晴らしい回収ツールをクラフトできます。 レンチ、ラチェット、インパクトドライバーなどの回収ツールの付与ダメージが 50%、、採集速度が 40%、、採集量が 80%増加し、 消費スタミナ量が 8% 軽減され、　ブロックダメージ量が 100%上がります。"
perkMasterChefRank1LongDesc,"料理は苦手ですが、基本は知っています。ベーコンエッグ、ゆで肉、焼き肉、カボチャパン、ベイクドポテト、コーンブレッド、紅茶、コーヒーなどの基本レシピがアンロック。+10%料理速度。"
perkMasterChefRank3LongDesc,"缶詰めの食材から栄養価の高いあり合わせの食事を作れるようになりましょう。ホボシチュー、フィッシュタコスをクラフトする。ユッカジューススムージーとビールで洗い流しましょう。+30%料理速度。"
perkMasterChefRank4LongDesc,"ガンボシチュー、シャムチャウダー、スパゲッティ、ツナグレービートーストを大量に料理しましょう。40%料理速度。レシピの主な栄養素を20%減らして使用する"
perkMiner69rName,69年の鉱夫(レンチにも有効)
perkMiner69rRank1LongDesc,"誰にでも始まりがあるもの。品質レベル2のみすぼらしいツールをクラフトでき、斧、つるはし、チェーンソーやオーガーのツールダメージが12.5%、ブロックダメージが40%増加します。\nつるはしなどの鉄製ツールをすべてアンロック。"
perkMiner69rRank2LongDesc,"青二才なのは変わりませんが、 マックマンのためにコーヒーを取って来るパシリは卒業です。品質レベル3の美しいツールをクラフトでき、斧、つるはし、チェーンソーやオーガーのツールダメージが25%、ブロックダメージが80%増加します。"
perkMiner69rRank3LongDesc,"あなたは昔マックマンと呼ばれていたプロの鉱夫のようです。品質レベル4の優れたツールをクラフトでき、斧、つるはし、チェーンソーやオーガーのツールダメージが37.5%、ブロックダメージが120%増加します。"
perkMiner69rRank4LongDesc,"最高級のツールで岩を砕くことが可能になります。品質レベル5の素晴らしいツールをクラフトでき、斧、つるはし、チェーンソーやオーガーのツールダメージが50%、ブロックダメージが160%増加します。"
perkMotherLodeRank1LongDesc,"あなたは初めて小さな鉱脈を見つけ、すべてのジョニー・ニューカムの妬みの的になりました。\n斧、つるはし、チェーンソーやオーガーを使用した時、鉱石、石、地形ブロックや木から25%多く採集できます。"
perkMotherLodeRank2LongDesc,"より多くの鉱石を探すのが癖になり始めています。斧、つるはし、チェーンソーやオーガーを使用した時、鉱石、石、地形ブロックや木から50%多く採集できます。"
perkMotherLodeRank3LongDesc,"着々と鉱脈が見つかり、このまま安定した暮らしができそうです。斧、つるはし、チェーンソーやオーガーを使用した時、鉱石、石、地形ブロックや木から75%多く採集できます。"
perkMotherLodeRank4LongDesc,"こんなにたくさん鉱石を運ぶにはアイルランドのベビーカーが必要です。斧、つるはし、チェーンソーやオーガーを使用した時、鉱石、石、地形ブロックや木から100%多く採集できます。"
perkPackMuleRank1LongDesc,完あまり整理整頓できていないようですね。\n\n動きが阻害されることなく、アイテムを5つ多く運べる。
perkPackMuleRank2LongDesc,どこかに入れたはずなのに．．．\n\n動きが阻害されることなく、アイテムをさらに5つ多く運べる。
perkPackMuleRank3LongDesc,どこに何を入れたかしっかりと把握しています。\n\n動きが阻害されることなく、アイテムをさらに5つ多く運べる。
perkPackMuleRank4LongDesc,"大量にアイテムを持ち歩く事が出来るようになりました。\n\n動きが阻害されることなく、アイテムを5つ多く運べる。"
perkPackMuleRank5LongDesc,"そんなに持ち歩く事が出来るだなんて、きっと前世はロバでしたね。\n\n動きが阻害されることなく、アイテムを5つ多く運べる。"
quest_BasicSurvival1,スペンサー邸チャレンジ設定
quest_BasicSurvival1_subtitle,Enter The Survival Horror
quest_WhiteRiverCitizen1,ラジオの雑音 1/1
quest_WhiteRiverCitizen1_description,"電池切れ間近のラジオから雑音が聞こえます。\n\n近くに野営地があるに違いありません。\n味方かどうかは分かりませんが、一人ではないと分かっただけでも心強く感じます。\n味方であることにかけてみる事にします。"
goDifficulty1,D (受ダメ 50%dmg/与ダメ 200%)
goDifficulty2,C (受ダメ 75%dmg/与ダメ 150%)
goDifficulty3,B (受ダメ 100%dmg/与ダメ 100%)
goDifficulty4,A (受ダメ 150%dmg/与ダメ 84%)
goDifficulty5,S (受ダメ 200%dmg/与ダメ 67%)
